m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
7683.57,987.743,-20458.4,20.8409,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3248.9,1465.01,-13416.1,41.2978,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5949.18,3109.74,23796.4,16.3188,1,96.77775110862112,19.896191518285118,0.0003289434359861133,0.0003294419087224432,7.832264201424715e-07,3.0550373518386556e-09,0.9998415887139944,6.846710195933742e-12,6259.17138,6258.00758,6260.00889,6046.71762,6258.84517,6044.30373,8112.98609,7924.42225,8112.57831,7947.14495,8112.85774,7924.23323,8112.44995,7947.07051,5903.09147,5282.73498,5904.28568,5896.72333,7598.99092,2132.96933,5899.09974,6520.33189,1392.32032,2577.39202,7055.36121,7055.92118,2577.555,7056.36417,123.136944,8760.67504,8760.87112
302.065,9227.65,-1709.02,14.0559,1,3.1412267424466664,23.968920460496882,0.000328960370016542,0.0003291792043832158,3.2450612299609813e-06,3.0591163352881914e-09,0.9999023189063696,3.72344568289649e-12,5841.14726,5841.04871,5842.00629,3395.85886,5841.90775,3395.51397,15482.8826,14549.4932,15482.6681,14657.6034,15482.8393,14549.4358,15482.6247,14657.5672,5806.33592,3276.35342,5807.37342,14281.5958,14422.2913,12151.9495,14284.0329,17601.643,4295.87267,7702.17723,8373.35876,8378.4308,7702.3412,8378.65304,128.242564,9949.50846,9949.89237
2776.51,776.666,10011.5,8.17733,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202.57,6025.69,5340.63,41.1885,1,0.5348399585667136,24.775454676596894,0.0003288157350731261,0.00032909747014814685,2.4020665193074133e-07,3.077445351642252e-09,0.9963663269947882,2.8950871326914063e-11,4027.50543,4026.86924,4028.61102,2520.31727,4027.97495,2518.27132,10485.8704,9889.95857,10485.5492,9958.20663,10485.7525,9889.72307,10485.4314,9958.1885,3796.66662,1663.14435,3799.39805,9367.03199,9589.26578,8551.51219,9590.35081,11789.0091,2756.88582,4865.91942,4889.04635,5020.47913,4866.06446,5020.54708,125.774327,4787.61675,4788.30741
7502.12,7029.82,10863.6,44.2591,1,30.321767093772305,21.40401690704326,0.000328887394357539,0.00032914860306766864,2.007944681613496e-06,3.0538604639442565e-09,0.9975480576066567,1.2537022381079823e-11,8705.55104,8702.95332,8706.25229,7921.36606,8703.65468,7915.6286,14124.6593,13553.6218,14124.4251,13620.4299,14124.4065,13553.1194,14124.1723,13620.3958,7803.02872,5743.13572,7804.1229,12349.1229,12425.0086,10959.1886,12351.9606,13883.9774,3263.38613,4901.17698,4904.0719,5896.31542,4901.15221,5896.47939,126.196625,6323.13494,6323.65847
282.09,3553.31,-35.0489,46.9524,1,0.06399896225525419,26.31430527256561,0.00032858798889375657,0.00032789974192365845,8.454203216122177e-07,3.357577271387124e-09,0.9862502141521551,8.658608393198636e-11,2312.65073,2312.35164,2314.32003,1344.74841,2314.02111,1343.69262,6401.96026,6054.58516,6401.43449,6093.21875,6401.83509,6054.33039,6401.3093,6093.20442,2193.43422,850.575291,2200.47098,5550.08389,5706.26343,5093.48713,5709.54706,7185.38325,1595.68117,2931.01004,3433.68759,3439.76744,2931.1733,3440.00713,124.528154,2789.55975,2790.78083
3016.78,8659.3,-18034.9,28.3138,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5970.66,5269.84,34514.7,44.6879,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
