m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
5561.96,1163.83,7811.35,46.1556,1,140.56017659176388,18.480326578978605,0.0003286169738614298,0.00032956605845914046,1.7469611833455088e-06,2.910060846874124e-09,0.9881781440943689,5.902630039367716e-11,5596.79638,5594.01184,5597.78618,5573.54078,5595.0161,5567.92317,5916.70558,5885.55754,5916.23321,5887.87464,5916.48151,5885.13776,5916.00811,5887.83673,4814.84311,3841.07173,4815.69441,4276.76798,4846.74061,3521.78572,4279.31681,2722.2485,508.872117,968.875813,1558.03912,1562.88392,968.772366,1562.91097,121.077493,2961.23879,2962.72366
686.898,4888.58,-1160.13,30.0717,1,0.5706303512516914,24.65506181468265,0.00032882519782351363,0.00032884394993882063,3.982677271232042e-07,3.0732386817001795e-09,0.998198812111868,2.8772703181988638e-11,3208.26816,3207.95747,3209.61124,1928.67767,3209.30691,1927.65837,8579.21966,8089.40618,8578.83932,8143.09387,8579.15291,8089.2902,8578.77261,8143.06769,3122.78702,1627.85963,3125.84746,7755.07094,7793.69487,6725.49475,7781.09459,9601.06297,2226.16985,4060.20542,4684.96211,4689.9261,4060.16532,4689.6721,125.484907,4929.25862,4929.74639
8334.81,2166.36,1793.6,3.65632,1,190.30880095170957,18.892058692113494,0.000328949347383833,0.00032931411029270936,3.315627063917225e-07,3.059570171267341e-09,0.9999921208153875,1.3697000751671759e-12,8426.05277,8426.03461,8426.81169,8365.04597,8426.79358,8365.00927,9119.28534,9044.51259,9118.95266,9051.26572,9119.2615,9044.50911,9118.92904,9051.22084,8420.91526,8354.6597,8421.68632,7729.05516,9035.3994,5948.61577,7730.4987,4857.85908,982.024088,1840.50914,2524.9128,2532.2107,1840.46047,2531.47388,115.395379,9133.15772,9133.39846
9948.92,3773.58,37619.9,9.0631,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298.775,4309.6,1425.47,46.1784,1,0.1941903469514004,25.4628187486825,0.0003286849375821388,0.0003285903760620895,4.746810018168409e-07,3.1924780793266744e-09,0.9909578084719413,5.907173685871688e-11,2787.05558,2786.68202,2788.56984,1616.56818,2788.20819,1615.29382,7614.98602,7183.5263,7614.5566,7230.96426,7614.89566,7183.3524,7614.466,7230.94531,2683.43179,1217.45659,2687.99543,6691.02688,6879.62778,6141.36991,6881.92003,8526.41027,1949.79352,3559.4362,3797.89521,3810.98002,3558.45923,3810.66655,124.380247,3379.57979,3380.91962
3835.52,8782.07,-20904.4,21.6747,1,2.0240313315943306,24.022491619641364,0.00032898694890650613,0.0003287113972761034,7.170009842666955e-07,3.0621010281192666e-09,0.9998639319080558,4.95039188053751e-12,6752.83004,6750.76127,6753.4411,5004.29218,6751.3783,4998.75503,15217.192,14353.2784,15216.974,14450.8657,15217.0077,14353.0004,15216.7899,14450.7534,6179.43798,3223.85789,6182.06582,12344.2567,13579.1081,8619.44261,12349.6753,16677.4191,4129.27333,7419.34425,12605.7005,12606.2669,7419.32429,12606.6777,129.740462,12899.6035,12899.608
2403.81,7318.75,-7370.64,28.3667,1,1.4947482167901218,24.18259631198849,0.000328934415700661,0.0003287722629665951,8.698415488750374e-07,3.0659738335481757e-09,0.9994126448174026,1.0509193811544282e-11,5234.28669,5233.26568,5235.20191,3605.06317,5234.18583,3602.15597,12660.2615,11930.7964,12660.0023,12012.136,12660.1353,11930.5815,12659.8762,12012.0831,4957.26746,2728.81164,4960.8634,11133.4234,11349.697,9282.99279,11140.072,14047.7883,3402.47653,6138.90884,7848.84131,7850.5898,6138.88269,7850.41353,127.661838,8134.29891,8134.54051
3833.58,2676.36,6588.63,9.50313,1,95.54281636747862,19.82348872768239,0.0003288104601883346,0.0003300990877089026,9.703837707608101e-07,3.0577062260606054e-09,0.9998022996595911,1.1695303987815965e-11,4191.78324,4191.69398,4192.94154,3953.79075,4192.85251,3953.60114,6166.38131,5970.30019,6165.86438,5991.21711,6166.36494,5970.28846,6165.84803,5991.19502,4166.5434,3899.98244,4167.76243,5521.27269,5939.68621,4589.93022,5523.34608,5638.72794,1198.70713,2202.47487,2345.69597,2371.29558,2202.32384,2370.71574,120.614438,4746.9424,4747.84199
828.075,9039.12,-736.77,47.6691,1,0.7069249540108301,24.81959044898611,0.00032889599555006226,0.0003288543147614056,8.186982671790351e-08,3.0998663788048977e-09,0.9974118289812607,1.383731847747449e-11,5777.05621,5776.09438,5777.42846,3409.97353,5776.47237,3406.75954,15135.7999,14209.3742,15135.5818,14314.9526,15135.5885,14208.9653,15135.3703,14314.9113,5520.70298,2422.88794,5522.83718,13083.0628,13538.0933,12015.5583,13539.793,17098.098,4220.78153,7544.66771,7669.30755,7693.31011,7544.6023,7693.1041,126.996085,6564.34135,6564.6968
3896.92,5312.91,20581.6,11.8862,1,104.4885270779296,20.407277789905834,0.0003289285290575154,0.0003294329229521536,4.3563475080403736e-07,3.0581684683741538e-09,0.9998924934593593,5.1058748763378515e-12,5155.12598,5154.56018,5156.14374,4349.5735,5155.57871,4348.23206,9985.72583,9502.96087,9985.4001,9558.0124,9985.68098,9502.91596,9985.35526,9557.96285,4994.4009,3957.16146,4995.64518,8779.91847,9393.04994,6930.7228,8780.7623,10439.1419,2430.68182,4423.27017,6341.10396,6343.00186,4423.2427,6342.89065,122.522439,7924.49487,7924.65663
